ProductName,SATID,Mode,Level,Status,FailedQC,QCProcessingTime(sec),QC1Status,NumberLostline,QC2Status,ViewingAngleAlongTrack,ViewingAngleAcrossTrack,QC3Status,MissingFile,ErrorFile,QC4Status,NoDataPercentage,QC5Status,CloudCoverPercentage,QC6Status,UsedCPF,QC7Status,Mode,QC8Status,PointingError
TH_CAT_210301071226129_1_1M_PORTSAID_20210226,TH1/TH2S/TH2M (Constant: TH1),PAN/MS/PANSHARPEN (Metadata: Dataset_Source > Imaging_Mode),0 / 1A / 2A / 3 (Metadata: Data_Processing > PROCESSING_LEVEL),PASS / NOT PASS,"['QC1LostLine', 'QC6CPFcheck']",12.244,PASS / NOT PASS /ERROR,9999,PASS / NOT PASS,12.0,10.0,PASS / NOT PASS,"['METADATA.DIM', 'ICON.JPG', 'ERROR']","['PREVIEW.JPG', 'ERROR']",PASS / NOT PASS,"[10, 20, 8, 9999]",PASS,9999,PASS / NOT PASS,TH1_1234_5678.CPF (METADATA : Sensor_Calibration > Calibration > Calibration_Filename),PASS / NOT PASS,"[25, 48, 52, 15]",PASS,9999
TH1_20210122_042918_MS_1A_64088_Scene1_sipros,TH1,MS,1A,NOT PASS ,"['QC6CPFCheck', 'QC7Mode']",4.248,PASS,8,PASS,7.926944,0.947274,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,NOT PASS ,THEOS_1_20190430_000000_20190502_000000.CPF,NOT PASS ,"[42, 44, 56, 107]",PASS,9999
TH1_20210122_042920_PAN_1A_64088_Scene1_sipros,TH1,PAN,1A,NOT PASS ,['QC6CPFCheck'],6.343,PASS,8,PASS,7.950207,0.956158,PASS,[],[],PASS,[0.0],PASS,9999,NOT PASS ,THEOS_1_20190430_000000_20190502_000000.CPF,PASS,[70],PASS,9999
TH1_20210122_042921_PAN_2A_64088_Scene1_sipros,TH1,PAN,2A,NOT PASS ,['QC6CPFCheck'],7.751,PASS,8,PASS,7.953287,0.944378,PASS,[],[],PASS,[0.00024275274816460373],PASS,9999,NOT PASS ,THEOS_1_20190430_000000_20190502_000000.CPF,PASS,[70],PASS,9999
TH_CAT_171010023856361_1_CALVAL_ALMERIA_20171005_MS_1A,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.43,PASS,0,PASS,-8.328749,5.101623,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,"[25, 46, 6, 15]",PASS,9999
TH_CAT_171010023922789_1_CALVAL_ALMERIA_20171005_MS_2A,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.247,PASS,0,PASS,-8.328749,5.101623,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,"[46, 25, 6, 15]",PASS,9999
TH_CAT_171010024109938_1_CALVAL_ALMERIA_20171005_PAN_1A,TH1,PAN,1A,NOT PASS ,['QC7Mode'],6.894,PASS,0,PASS,-8.303323,5.10766,PASS,[],[],PASS,[6.944444444444444e-06],PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,[18],PASS,9999
TH_CAT_171010024125727_1_CALVAL_ALMERIA_20171005_PAN_2A,TH1,PAN,2A,NOT PASS ,['QC7Mode'],8.101,PASS,0,PASS,-8.303323,5.10766,PASS,[],[],PASS,[0.00014890707042627906],PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,[18],PASS,9999
TH_CAT_171010030149236_1_CALVAL_PHUKET_20170919_MS_1A,TH1,MS,1A,NOT PASS ,"['QC2IncidenceAngle', 'QC7Mode']",3.25,PASS,0,NOT PASS ,-38.803731,47.557574,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,"[48, 32, 14, 26]",PASS,9999
TH_CAT_171010030208347_1_CALVAL_PHUKET_20170919_MS_2A,TH1,MS,1A,NOT PASS ,"['QC2IncidenceAngle', 'QC7Mode']",3.139,PASS,0,NOT PASS ,-38.803731,47.557574,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20170620_000000_20170629_000000.CPF,NOT PASS ,"[48, 14, 26, 32]",PASS,9999
